"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"B4galt5",967,1211,-0.324611070217488,-0.312384666709496,-5.03701649950823,4.7284403619107e-07,3.34758406156875e-05,2.42453953881749e-05,FALSE,10.0796776145856,"purple","3"
"Dot1l",2032,1739,0.224642469465579,0.236868872973571,5.03414717130329,4.79980827492244e-07,3.38003519955841e-05,2.44804277747811e-05,FALSE,10.8763634520394,"purple","3"
"Rassf2",104,191,-0.876989109894657,-0.864762706386665,-5.03187409351905,4.8570822474418e-07,3.40227046951757e-05,2.46414701569311e-05,FALSE,7.13893427308842,"purple","3"
"Tmem106b",2115,2475,-0.226770861847022,-0.21454445833903,-5.03050488947032,4.8918991137182e-07,3.40862380876396e-05,2.46874851991917e-05,FALSE,11.1598273789308,"purple","3"
"Ccng1",3264,3713,-0.185944257883245,-0.173717854375252,-5.02478700748167,5.039915640262e-07,3.49337398750935e-05,2.53013014783676e-05,FALSE,11.7653974709131,"purple","3"
"Macf1",4451,4025,0.145140717562928,0.15736712107092,5.01931162928738,5.18569674669131e-07,3.57569995986699e-05,2.58975600677909e-05,FALSE,12.0473434266708,"purple","3"
"Smc5",1880,1599,0.233562723084667,0.245789126592659,5.0167502248782,5.25528177413754e-07,3.6049054615444e-05,2.61090854313532e-05,FALSE,10.7597355850227,"purple","3"
"Tef",649,849,-0.3875460755539,-0.375319672045907,-5.01211992576764,5.38336340136905e-07,3.67372928199612e-05,2.66075525970126e-05,FALSE,9.53584770577609,"purple","3"
"Prl2c5",74,149,-1.00971515483321,-0.997488751325219,-5.00988424367024,5.44627840982767e-07,3.69760409577993e-05,2.67804696289261e-05,FALSE,6.71431094304556,"purple","3"
"1810011O10Rik",151,77,0.971618198630178,0.98384460213817,5.00735852013533,5.51820846544199e-07,3.72732458540748e-05,2.69957248723784e-05,FALSE,6.75259564000999,"purple","3"
"A630033H20Rik",227,349,-0.620534738918738,-0.608308335410746,-5.00214687070297,5.6695369906996e-07,3.81010153400365e-05,2.75952497269688e-05,FALSE,8.13681585675028,"purple","3"
"Herc2",1894,1613,0.231689892312742,0.243916295820734,4.99865320072343,5.77321281959473e-07,3.86018002619265e-05,2.79424499127391e-05,FALSE,10.771375669312,"purple","3"
"Slc38a10",1572,1880,-0.258131444306393,-0.245905040798401,-4.99778851669675,5.79915338676517e-07,3.85803978328563e-05,2.79424499127391e-05,FALSE,10.7474512244118,"purple","3"
"Smpd1",625,820,-0.391767719955997,-0.379541316448005,-4.97752967891393,6.44009096045459e-07,4.26301821127291e-05,3.0875568821673e-05,FALSE,9.48359623952745,"purple","3"
"Elovl6",765,588,0.379643592743651,0.391869996251643,4.97429846001346,6.5484352102369e-07,4.31317083325006e-05,3.12388069442192e-05,FALSE,9.38949414120819,"purple","3"
"Med12",1734,1467,0.241235027548445,0.253461431056437,4.96176564220301,6.98552501488287e-07,4.57828542930863e-05,3.31589404155215e-05,FALSE,10.6392706694476,"purple","3"
"Huwe1",6813,6301,0.112709397113182,0.124935800621174,4.95860475020257,7.10012524365117e-07,4.63047084239891e-05,3.33801232523171e-05,FALSE,12.6777197928715,"purple","3"
"Ero1l",2416,2102,0.200857785362901,0.213084188870893,4.95856039725346,7.10174610491752e-07,4.60882434720603e-05,3.33801232523171e-05,FALSE,11.1379758466436,"purple","3"
"Zfp318",1169,950,0.299275511313345,0.311501914821337,4.95661871049256,7.17305477852328e-07,4.63239376648145e-05,3.35508284172635e-05,FALSE,10.041421458875,"purple","3"
"Atxn2l",2346,2037,0.203757033062621,0.215983436570613,4.95017318996566,7.41474690640012e-07,4.76523467445782e-05,3.45129492418268e-05,FALSE,11.0941087814972,"purple","3"
"Prl2c1",23,70,-1.60572106088795,-1.59349465737996,-4.94732628387424,7.52397989098124e-07,4.81207583462322e-05,3.48522035899666e-05,FALSE,5.32642248650099,"red","4"
"Gabpb2",1447,1204,0.265229529772023,0.277455933280015,4.94100241082928,7.77219473094211e-07,4.94692721360301e-05,3.58158261493395e-05,FALSE,10.3662344416457,"purple","3"
"Mthfr",615,458,0.425238812129658,0.43746521563765,4.93975162387332,7.82221439480388e-07,4.95494241018223e-05,3.58158261493395e-05,FALSE,9.05182319416177,"purple","3"
"Tmem50b",483,654,-0.437267446662309,-0.425041043154317,-4.93900372440291,7.85227129420063e-07,4.95029617447248e-05,3.58158261493395e-05,FALSE,9.13451310216693,"purple","3"
"Baz2a",1942,1661,0.225491127456815,0.237717530964807,4.93828105458943,7.88141991596822e-07,4.94512408850726e-05,3.58158261493395e-05,FALSE,10.8105819216908,"purple","3"
"Ice1",1664,1404,0.245112497836532,0.257338901344524,4.93160582679739,8.15563632398892e-07,5.09304100440044e-05,3.6887137293278e-05,FALSE,10.5778834692228,"purple","3"
"Gpc1",1957,2296,-0.230478886048884,-0.218252482540892,-4.92570393270689,8.40571910125633e-07,5.22456878786538e-05,3.78397476104461e-05,FALSE,11.0496674836512,"purple","3"
"Gm2115",603,792,-0.393342428179526,-0.381116024671534,-4.91075772403923,9.0725127015657e-07,5.61266334841254e-05,4.06505824977577e-05,FALSE,9.43268540598985,"purple","3"
"Mbd6",1083,875,0.307678320888636,0.319904724396628,4.89235451140414,9.96367650792458e-07,6.13530759480993e-05,4.4435914297707e-05,FALSE,9.92697836716401,"purple","3"
"Ephx1",1160,1418,-0.289732727224582,-0.27750632371659,-4.87138826666493,1.10816825724272e-06,6.79214794335017e-05,4.91338548392786e-05,FALSE,10.3247754536272,"purple","3"
"Pcolce2",264,391,-0.566630677948899,-0.554404274440907,-4.87071416473218,1.11195602066435e-06,6.7839565703112e-05,4.91338548392786e-05,FALSE,8.3277094583329,"purple","3"
"Ncor1",4139,3741,0.145858282679464,0.158084686187456,4.86157517561043,1.16455338093124e-06,7.07225789456365e-05,5.12219217761726e-05,FALSE,11.9421373918906,"purple","3"
"Hk2",1007,808,0.317636485254988,0.329862888762981,4.85601384424328,1.19772331378951e-06,7.24048353938784e-05,5.24403220308571e-05,FALSE,9.81702972537929,"purple","3"
"Itpr3",3792,3411,0.152764209284854,0.164990612792846,4.85069779983844,1.23027873451835e-06,7.4034818937675e-05,5.36208628259117e-05,FALSE,11.8123611442558,"purple","3"
"Sbf2",1624,1372,0.243271151012364,0.255497554520356,4.83864369409826,1.30728164719605e-06,7.83126774987714e-05,5.67191680609972e-05,FALSE,10.543700341679,"purple","3"
"Grem1",603,789,-0.387867298113374,-0.375640894605382,-4.83561911383323,1.32731863507679e-06,7.91548261701878e-05,5.7329107263078e-05,FALSE,9.42994784095677,"purple","3"
"4932438A13Rik",1736,1476,0.234074226384083,0.246300629892075,4.83035732426903,1.36288244780879e-06,8.0911214020361e-05,5.86011983323156e-05,FALSE,10.6445141192524,"purple","3"
"Sprr2d",17,58,-1.77051815387723,-1.75829175036924,-4.82918018121117,1.3709631417873e-06,8.10275939023308e-05,5.86854882620587e-05,FALSE,4.97272191818896,"red","4"
"Ifit1",149,78,0.933766301599912,0.945992705107905,4.81419044599787,1.47797808768388e-06,8.69642306793194e-05,6.29851892788754e-05,FALSE,6.75228536966221,"purple","3"
"Lars",1880,1611,0.222776167858431,0.235002571366423,4.80556402286525,1.54315845321375e-06,9.03976759384814e-05,6.54719151181969e-05,FALSE,10.7651288626358,"purple","3"
"Megf8",1552,1846,-0.250273995458647,-0.238047591950655,-4.80066931656671,1.58136208710275e-06,9.22275448068427e-05,6.6797225951501e-05,FALSE,10.7250498399165,"purple","3"
"Rgma",839,660,0.346204786194008,0.358431189702,4.79252454156836,1.64695617714707e-06,9.56318106546057e-05,6.92628181507539e-05,FALSE,9.53942460734282,"purple","3"
"Myo9a",1767,1507,0.229622622953793,0.241849026461785,4.7889172488969,1.67683605574829e-06,9.69416268211861e-05,7.0211472770339e-05,FALSE,10.6722750130747,"purple","3"
"BC005561",332,222,0.580623564996819,0.592849968504811,4.78781270150815,1.68608895005199e-06,9.70527461292972e-05,7.02919526480916e-05,FALSE,8.08472764884852,"purple","3"
"Unc13a",158,85,0.894389812039401,0.906616215547394,4.78363418414327,1.72153873513481e-06,9.86642914045446e-05,7.14591392419364e-05,FALSE,6.8565858421574,"purple","3"
"Eno2",646,490,0.398752415691353,0.410978819199346,4.77808498592061,1.76972584309903e-06,0.000100988794986155,7.31426969175866e-05,FALSE,9.13601414684825,"purple","3"
"Thoc2",2196,1908,0.202816882999688,0.21504328650768,4.7691949548159,1.84963594018286e-06,0.00010509583782009,7.59028622848445e-05,FALSE,10.9992538975054,"purple","3"
"Thbd",1278,1543,-0.271850225623739,-0.259623822115747,-4.7689004660484,1.85234146749792e-06,0.000104799780718825,7.59028622848445e-05,FALSE,10.4555972337589,"purple","3"
"Col4a2",4454,4956,-0.154074629352813,-0.141848225844821,-4.76684343937835,1.87134610701138e-06,0.00010542447281159,7.6355305196102e-05,FALSE,12.1979231574642,"purple","3"
"Myo10",2099,2439,-0.21658759150403,-0.204361187996038,-4.76515124828063,1.88712038522322e-06,0.000105862655847331,7.66726660377881e-05,FALSE,11.1437802470442,"purple","3"
"Trak2",1544,1835,-0.249107310462495,-0.236880906954503,-4.76384689572443,1.89936641558333e-06,0.000106100050531256,7.68446028097688e-05,FALSE,10.7170106924993,"purple","3"
"Ankhd1",2269,1977,0.198743737943129,0.210970141451121,4.75937224336742,1.94195997707099e-06,0.000108023563598499,7.82377369026518e-05,FALSE,11.0484690247008,"purple","3"
"Lrp10",1325,1594,-0.266659269652548,-0.254432866144556,-4.7544477480062,1.98989596376847e-06,0.000110226914913518,7.98335481751743e-05,FALSE,10.5051062791642,"purple","3"
"Nf1",1977,1705,0.213541131817673,0.225767535325665,4.74193055273182,2.11691196499259e-06,0.000116774156268904,8.45754890030546e-05,FALSE,10.8423265898204,"purple","3"
"Emilin2",999,1232,-0.302445672902484,-0.290219269394492,-4.73818511889609,2.15640779371926e-06,0.000118459264651657,8.57959548154242e-05,FALSE,10.1155637042437,"purple","3"
"Clcn6",450,322,0.48286431310242,0.495090716610412,4.73450251155322,2.19593052440144e-06,0.00012013191823368,8.70074000457077e-05,FALSE,8.57234903466583,"purple","3"
"Bag3",904,1125,-0.315530323689211,-0.303303920181219,-4.72114484846444,2.3452084441192e-06,0.000127770430418494,9.23385886161376e-05,FALSE,9.97794412425979,"purple","3"
"Col5a2",2326,2681,-0.204920122509343,-0.19269371900135,-4.72033261448378,2.35459300498797e-06,0.000127755970463261,9.23385886161376e-05,FALSE,11.2860954427279,"purple","3"
"Cntrl",1140,934,0.287539369342444,0.299765772850436,4.71992021701186,2.35937164031245e-06,0.000127492739371822,9.23385886161376e-05,FALSE,10.0110484243809,"purple","3"
"Ces2g",777,982,-0.337808425906982,-0.325582022398989,-4.71659992543041,2.39818608747592e-06,0.000129063356146722,9.34761321105019e-05,FALSE,9.7706750013612,"purple","3"
"Pan2",792,621,0.350907161859128,0.36313356536712,4.713587081745,2.43393637245784e-06,0.000130457018765058,9.44855138197527e-05,FALSE,9.45390303915005,"purple","3"
"Phf10",900,718,0.325941157393986,0.338167560901978,4.69956152544185,2.60720668008525e-06,0.000139180682409873,0.000100485741721525,FALSE,9.65081061252004,"purple","3"
"Cfap69",436,311,0.487413554646324,0.499639958154316,4.69938500163684,2.609461105682e-06,0.000138741588667165,0.000100485741721525,FALSE,8.52447754745377,"purple","3"
"Tnxb",754,955,-0.340936209654448,-0.328709806146456,-4.69343899368561,2.68650131307833e-06,0.000142266363535376,0.000103038614442936,FALSE,9.72888881809589,"purple","3"
"Mlec",3659,4105,-0.165932806326079,-0.153706402818087,-4.69111092552167,2.71725594495028e-06,0.000143321718945007,0.000103789818648805,FALSE,11.9202001035021,"purple","3"
"Lrp8",1662,1415,0.232118329051101,0.244344732559093,4.69032337992599,2.72773598011165e-06,0.000143303558098009,0.000103789818648805,FALSE,10.5826455022448,"purple","3"
"Aldh18a1",1864,1603,0.217627434499732,0.229853838007725,4.68440799220162,2.80770251940865e-06,0.00014692163499783,0.000106410266809856,FALSE,10.7553724274044,"purple","3"
"Rassf3",343,480,-0.484825829435705,-0.472599425927713,-4.66605833839996,3.07032562407389e-06,0.000160031657232733,0.000115905403206341,FALSE,8.66447768089067,"purple","3"
"Mysm1",874,696,0.32854597365187,0.340772377159863,4.66474143208423,3.09005340707626e-06,0.0001604283021815,0.000116192679446003,FALSE,9.60721648267466,"purple","3"
"Fendrr",348,238,0.548125732540785,0.560352136048777,4.65929383559746,3.17296004531482e-06,0.000164089132968449,0.000118784880232383,FALSE,8.16888062957834,"purple","3"
