"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Ttll1",13,20,-0.62148837674627,-0.467913739188819,-0.921568621036553,0.356753632383356,0.459327097251382,0.140391374507916,FALSE,4.01118390651423,"black","46"
"Cyp4b1",13,20,-0.62148837674627,-0.467913739188819,-0.921568621036553,0.356753632383356,0.459327097251382,0.140391374507916,FALSE,4.01118390651423,"black","46"
"Nos3",13,20,-0.62148837674627,-0.467913739188819,-0.921568621036553,0.356753632383356,0.459327097251382,0.140391374507916,FALSE,4.01118390651423,"black","46"
"Ttc26",13,20,-0.62148837674627,-0.467913739188819,-0.921568621036553,0.356753632383356,0.459327097251382,0.140391374507916,FALSE,4.01118390651423,"black","46"
"Unc13a",13,20,-0.62148837674627,-0.467913739188819,-0.921568621036553,0.356753632383356,0.459327097251382,0.140391374507916,FALSE,4.01118390651423,"black","46"
"Arhgap26",11,8,0.459431618637297,0.613006256194748,0.92088171103858,0.357112188083308,0.459585418154383,0.140488632013723,FALSE,3.22971580931865,"black","46"
"Dusp4",11,8,0.459431618637297,0.613006256194748,0.92088171103858,0.357112188083308,0.459585418154383,0.140488632013723,FALSE,3.22971580931865,"black","46"
"P2ry10",11,8,0.459431618637297,0.613006256194748,0.92088171103858,0.357112188083308,0.459585418154383,0.140488632013723,FALSE,3.22971580931865,"black","46"
"Brd2",1162,1341,-0.206699168499945,-0.053124530942494,-0.920708136525844,0.357202827028267,0.459611733421318,0.140488632013723,FALSE,10.2857439376545,"black","46"
"Fgd3",20,29,-0.536052900240209,-0.382478262682758,-0.920624696792333,0.357246403612135,0.459577495255846,0.140488632013723,FALSE,4.58995454500747,"black","46"
"Gm16907",20,29,-0.536052900240209,-0.382478262682758,-0.920624696792333,0.357246403612135,0.459577495255846,0.140488632013723,FALSE,4.58995454500747,"black","46"
"Ptpro",20,29,-0.536052900240209,-0.382478262682758,-0.920624696792333,0.357246403612135,0.459577495255846,0.140488632013723,FALSE,4.58995454500747,"black","46"
"Cecr5",141,174,-0.303392143449934,-0.149817505892483,-0.919663294136938,0.357748739739836,0.460133323083176,0.140672360636627,FALSE,7.29124742412376,"black","46"
"Zfp810",109,107,0.0267173383757786,0.18029197593323,0.918969737035571,0.358111401565625,0.460554543347091,0.14079285547527,FALSE,6.75482565558904,"black","46"
"Cables1",32,44,-0.459431618637297,-0.305856981079846,-0.918942773811206,0.358125505336854,0.460527456587927,0.14079285547527,FALSE,5.22971580931865,"black","46"
"Pm20d2",80,102,-0.350497247084133,-0.196922609526681,-0.917993599667257,0.358622216661098,0.461120917957166,0.140974289002401,FALSE,6.49717671842943,"black","46"
"Zfp141",84,81,0.0524674198941364,0.206042057451587,0.917842513105082,0.358701321559542,0.461177351967775,0.140991542057319,FALSE,6.36608371283169,"black","46"
"Mfap1a",215,219,-0.0265942100117131,0.126980427545738,0.917453492653934,0.358905052791267,0.46139398953121,0.141057772682058,FALSE,7.76148995459532,"black","46"
"Fndc3a",199,202,-0.0215868622081459,0.131987775349305,0.916665288064197,0.359318060958572,0.461879596222365,0.141206232782987,FALSE,7.64741805164772,"black","46"
"Gm608",411,486,-0.241817919924097,-0.088243282366646,-0.915033643515434,0.360173968380446,0.462934369409198,0.141460492856572,FALSE,8.80390354364373,"black","46"
"Usp5",1083,1159,-0.0978473233981454,0.0557273141593057,0.914974689845093,0.3602049174898,0.462928714371582,0.141460492856572,FALSE,10.1297411893074,"black","46"
"Snhg10",10,16,-0.678071905112638,-0.524497267555187,-0.914937925696477,0.360224218535441,0.462885381537569,0.141460492856572,FALSE,3.66096404744368,"black","46"
"Npnt",10,16,-0.678071905112638,-0.524497267555187,-0.914937925696477,0.360224218535441,0.462885381537569,0.141460492856572,FALSE,3.66096404744368,"black","46"
"Nadk2",28,39,-0.478047296804645,-0.324472659247194,-0.914856531864442,0.360266952313993,0.462826761575834,0.141460492856572,FALSE,5.04637857045993,"black","46"
"Bcl2l15",28,39,-0.478047296804645,-0.324472659247194,-0.914856531864442,0.360266952313993,0.462826761575834,0.141460492856572,FALSE,5.04637857045993,"black","46"
"Nadsyn1",28,39,-0.478047296804645,-0.324472659247194,-0.914856531864442,0.360266952313993,0.462826761575834,0.141460492856572,FALSE,5.04637857045993,"black","46"
